title,type,use,code
sns.relplot(),Relational plot (scatter or line),"To visualize relationships between two variables, useful for both scatter and line plots. Allows adding extra dimensions with parameters like hue, size, and style.","['sns.relplot(data=df, x=""age"", y=""income"", hue=""gender"", kind=""scatter"")', 'sns.relplot(data=df, x=""time"", y=""sales"", kind=""line"", col=""region"")']"
sns.scatterplot(),Scatter plot,Examines relationships or correlations between two continuous variables.,"['sns.scatterplot(data=df, x=""height"", y=""weight"", hue=""gender"", size=""age"")']"
sns.lineplot(),Line plot,"Visualizes trends over time or ordered categories, often used in time series.","['sns.lineplot(data=df, x=""year"", y=""sales"", hue=""product"")']"
sns.catplot(),"Categorical plot (e.g., bar, box, count)","Flexible plot for displaying categorical data with options like bar, box, and count plots.","['sns.catplot(data=df, x=""day"", y=""total_bill"", kind=""box"", hue=""smoker"")', 'sns.catplot(data=df, x=""day"", y=""total_bill"", kind=""violin"", col=""time"")']"
sns.barplot(),Bar plot,"Shows an average (or sum, count, etc.) for each category, used for comparing averages across categories.","['sns.barplot(data=df, x=""city"", y=""salary"", hue=""gender"")']"
sns.countplot(),Count plot,Displays the count of occurrences for each category.,"['sns.countplot(data=df, x=""department"")']"
sns.boxplot(),Box plot,"Visualizes the distribution of a continuous variable through quartiles, with individual outliers shown. Useful for spotting outliers and understanding data spread.","['sns.boxplot(data=df, x=""gender"", y=""age"")']"
sns.violinplot(),Violin plot,Similar to a box plot but shows a smooth distribution shape. Useful for visualizing distribution shape within categories.,"['sns.violinplot(data=df, x=""class"", y=""score"", hue=""gender"", split=True)']"
sns.stripplot(),Strip plot,Displays individual data points for a categorical variable. Often combined with box or violin plots for detail.,"['sns.stripplot(data=df, x=""day"", y=""total_bill"", jitter=True)']"
sns.swarmplot(),Swarm plot,Displays individual points without overlap. Useful for showing small sample sizes.,"['sns.swarmplot(data=df, x=""class"", y=""score"", hue=""gender"")']"
sns.histplot(),Histogram,Displays the distribution of a single variable by counting occurrences in bins.,"['sns.histplot(data=df, x=""age"", bins=30, kde=True)']"
sns.kdeplot(),Kernel Density Estimate (KDE) plot,Shows the smooth probability density of a variable. Useful for distribution visualization.,"['sns.kdeplot(data=df, x=""income"", hue=""gender"", fill=True)']"
sns.ecdfplot(),Empirical Cumulative Distribution Function (ECDF) plot,"Plots cumulative distribution, useful for understanding proportions.","['sns.ecdfplot(data=df, x=""salary"", hue=""department"")']"
sns.jointplot(),Joint plot (scatter + marginal distributions),Shows relationship between two variables and their individual distributions.,"['sns.jointplot(data=df, x=""age"", y=""income"", kind=""hex"")']"
sns.pairplot(),Pair plot (scatter plots for all pairs of variables),"Displays scatter plots for all variable pairs in the DataFrame, useful for exploring relationships.","['sns.pairplot(data=df, hue=""species"")']"
sns.heatmap(),Heatmap,"Shows a matrix of values (e.g., correlations or frequencies) as color-coded cells.","['sns.heatmap(data=corr_matrix, annot=True, cmap=""coolwarm"")']"
sns.clustermap(),Cluster map,"Like a heatmap but with clustering applied to rows and columns, useful for identifying patterns in high-dimensional data.","['sns.clustermap(data=correlation_data, cmap=""viridis"")']"
